Masa,Salsa,Ingredientes Principales,Cocción,Presentación,Maridaje,Extras
gruesa,carbonara,"tomate, queso, atun, champiñones",piedra,porciones,vino_tinto,si
gruesa,carbonara,"tomate, jamon, atun, carne_picada",piedra,porciones,sangria,no
gruesa,carbonara,"tomate, jamon, atun, carne_picada",piedra,porciones,sangria,no
gruesa,carbonara,"tomate, queso, jamon, anchoas",piedra,porciones,sangria,no
gruesa,carbonara,"[, ', t, o, m, a, t, e, ', ,,  , ', q, u, e, s, o, ', ,,  , ', j, a, m, o, n, ', ,,  , ', a, n, c, h, o, a, s, ', ]",piedra,porciones,sangria,no
gruesa,carbonara,"[, ', t, o, m, a, t, e, ', ,,  , ', q, u, e, s, o, ', ,,  , ', j, a, m, o, n, ', ,,  , ', a, n, c, h, o, a, s, ', ]",piedra,porciones,sangria,no
gruesa,carbonara,"[, ', t, o, m, a, t, e, ', ,,  , ', q, u, e, s, o, ', ,,  , ', j, a, m, o, n, ', ,,  , ', a, n, c, h, o, a, s, ', ]",piedra,porciones,sangria,no
gruesa,carbonara,"[, ', t, o, m, a, t, e, ', ,,  , ', q, u, e, s, o, ', ,,  , ', j, a, m, o, n, ', ,,  , ', a, n, c, h, o, a, s, ', ]",piedra,porciones,sangria,no
gruesa,carbonara,"[, ', t, o, m, a, t, e, ', ,,  , ', q, u, e, s, o, ', ,,  , ', j, a, m, o, n, ', ,,  , ', a, n, c, h, o, a, s, ', ]",piedra,porciones,sangria,no,Value
gruesa,carbonara,"[, ', t, o, m, a, t, e, ', ,,  , ', q, u, e, s, o, ', ,,  , ', j, a, m, o, n, ', ,,  , ', a, n, c, h, o, a, s, ', ]",piedra,porciones,sangria,no,Value
